Timestamp,Which of the following sentences BEST describes an architecture view?,How many years have you been developing software?,Number of OSS projects contributed to with at least one commit,How would you describe your OSS contribution?,What is your current role(s) in your organization?,What is your primary role in relation to architecture views?,"Architecture views should use an informal notation (for example boxes and arrows, icons)",Legends are not necessary in an architecture view,Architecture views should show the entire project and not just a portion of it,Architecture views should provide a high level overview of a project,Design information and runtime information are equally important to be reported in architecture views,Technologies used in a project are important in architecture views,What is the most valuable purpose(s) of an architecture view?,What is the most important concern(s) an architecture view should cover?,Which is the most important quality attribute an architecture view should cover?,For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Architecture design],For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Coding / implementation],For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Maintenance / operations],"Are you using in some way any standard notation in your architecture views? If so, which ones?",How important are the following elements in your architecture views? [Architectural components (for example code classes)],How important are the following elements in your architecture views? [Connection/Interaction (for example HTTP calls)],How important are the following elements in your architecture views? [Layers (for example the front end)],How important are the following elements in your architecture views? [Technologies (for example Kubernetes)],How important are the following elements in your architecture views? [Nested Components (for example elements of a layer)],How important are the following elements in your architecture views? [Users (for example end users)],How important are the following elements in your architecture views? [Legends (for example meaning of the colors used)],"If you believe important elements were missing above, please specify them with their importance (as example, code snippets - very important)",Which tool do you use to create architecture views? (if any),"If you are using a tool, what made you pick it?",What are the biggest challenges you face when creating architecture views?,Who is the intended user of your architecture views?,To which extent is it important to have versionable architecture views (version control with change tracking)?,To which extent is it important to have collaborative environment integration for architecture view editing?,To which extent is it important to have ready to be-used architecture view templates?,To which extent is it important to directly link architecture view elements to software artifact (for example code classes)?,To which extend is it important to be able to automatically generate architecture views from the code?,Do you use any (semi-)automatic tool for architecture view creation?,"If yes, please specify which tool you use",Which of the following aspects could in your opinion be automated?,"In your opinion, how will the creation of architecture views change in the future?",Any further comments o suggestions?
12/10/2024 15:45:02,A graphical representation showing the structure of system components,11-15 years,11-20 projects,Regular contributor,"Software Developer, Software Architect, Product Owner",Both creating and using architecture views,5,5,4,5,1,5,"Clarify the system structure, Support onboarding new developers, Assist communication among team members, Aid system documentation",General documentation,"Security, Maintainability",Very important,Very unimportant,Important,,Very important,Unimportant,Unimportant,Important,Very unimportant,Very unimportant,Very unimportant,,"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides","Easy to use, Rich of features, Integration with other tools, Free to use","Complex to create, Hard to mantain","Myself, New potential contributors, Existing contributors, Project maintainers",5,4,3,2,5,No,,"Identification of architecture components, Architecture view creation, Architecture view update",,
12/10/2024 15:56:14,A graphical representation showing the structure of system components,2-3 years,4-10 projects,Occasional contributor,Software Developer,Using architecture views,5,3,5,5,5,5,Clarify the system structure,"General documentation, Deployment",Functionality,Very important,Important,Very important,UML,,,,,,,,,Draw.io / Diagram.net,Easy to use,"Lack of existing documentation, Too time consuming","New potential contributors, Existing contributors",4,5,4,3,5,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 15:57:20,A graphical representation showing the structure of system components,11-15 years,21+ projects,Occasional contributor,"Software Developer, Technical Lead",Both creating and using architecture views,4,1,3,4,4,2,"Clarify the system structure, Ease understanding complex interactions, Assist communication among team members, Highlight architecture patterns","Deployment, Control flow, Connection of components","Functionality, Performance, Reliability, Security, Maintainability",Very important,Neutral,Neutral,UML,Important,Neutral,Neutral,Unimportant,Unimportant,Very important,Very important,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio","Easy to use, Rich of features, Frequent updates, Integration with other tools, Presence of templates, Free to use","Lack of templates, Too time consuming","Myself, End users",5,5,4,3,5,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation",,
12/10/2024 16:10:17,A graphical representation showing the structure of system components,16+ years,11-20 projects,Core/maintainer team member,"Software Developer, Software Architect",Both creating and using architecture views,5,5,2,3,4,4,"Clarify the system structure, Ease understanding complex interactions","Control flow, Data flow",Functionality,Very important,Important,Neutral,,Important,Important,Important,Neutral,Important,Important,Important,,Draw.io / Diagram.net,Easy to use,"Complex to create, Hard to mantain",Existing contributors,3,2,2,2,1,No,,"Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 16:16:57,A graphical representation showing the structure of system components,4-6 years,4-10 projects,Occasional contributor,Student,Both creating and using architecture views,2,3,4,4,4,5,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Facilitate system evolution tracking, Highlight architecture patterns, Visualize runtime behaviour, Show component dependencies","General documentation, Deployment, Control flow, Data flow, Connection of components","Functionality, Compatibility, Interaction capability, Maintainability, Flexibility",Important,Important,Very important,,Neutral,Important,Important,Very important,Important,Neutral,Important,,"Draw.io / Diagram.net, AWS Architecture","Easy to use, Versatile, Presence of templates, Free to use, Supports collaboration","Hard to mantain, Lack of templates, Lack of tools, Insufficient architectural design skills","Myself, New potential contributors, Existing contributors, Project maintainers",5,5,3,3,3,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 16:22:13,A graphical representation showing the structure of system components,0-1 years,1-3 projects,Occasional contributor,Software Developer,Using architecture views,3,2,4,4,4,4,"Clarify the system structure, Ease understanding complex interactions, Aid system documentation, Facilitate system evolution tracking","General documentation, Data flow, Connection of components","Maintainability, Flexibility, Safety",Important,Important,Very important,UML,Neutral,Neutral,Neutral,Important,Neutral,Important,Important,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides","Easy to use, Already used in my development company","Complex to create, Too time consuming","Myself, Project maintainers",4,4,5,4,3,No,,"Architecture view creation, Architecture view update",,
12/10/2024 16:25:33,A graphical representation showing the structure of system components,11-15 years,4-10 projects,Occasional contributor,DevOps Engineer,Both creating and using architecture views,3,3,3,4,3,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Aid system documentation, Facilitate system evolution tracking, Visualize runtime behaviour, Show component dependencies","General documentation, Connection of components",Not sure,Very important,Very important,Very important,UML,Neutral,Important,Important,Neutral,Neutral,Neutral,Neutral,,Draw.io / Diagram.net,"Easy to use, Free to use, Works locally, saves as open format.","Lack of templates, Too time consuming","Myself, New potential contributors, Project maintainers",5,2,3,1,1,No,,I don't know.,,
12/10/2024 16:32:33,A graphical representation showing the structure of system components,4-6 years,1-3 projects,Occasional contributor,"Software Developer, Technical Lead",Both creating and using architecture views,4,2,4,4,3,4,"Clarify the system structure, Support onboarding new developers, Highlight architecture patterns","Control flow, Data flow",Functionality,Very important,Neutral,Very important,C4,Important,Very important,Important,Important,Neutral,Neutral,Important,,"Draw.io / Diagram.net, AWS Architecture, Excalidraw","Easy to use, Already used in my development company, Free to use","Complex to create, Lack of templates, Too time consuming","Myself, New potential contributors, Existing contributors",4,3,5,4,4,No,,"Identification of connections / interaction between components, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 16:32:45,A graphical representation showing the structure of system components,7-10 years,1-3 projects,Core/maintainer team member,Software Architect,Creating architecture views,1,1,3,5,3,2,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Aid system documentation, Highlight architecture patterns, Show component dependencies",General documentation,Functionality,Neutral,Important,Neutral,,Important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,matplotlib,,Complex to create,"Myself, End users, New potential contributors, Existing contributors, Project maintainers",3,3,3,4,4,No,,"Identification of connections / interaction between components, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 16:34:39,A graphical representation showing the structure of system components,16+ years,21+ projects,Regular contributor,Software Developer,Both creating and using architecture views,5,2,3,5,4,3,"Clarify the system structure, Support onboarding new developers, Assist communication among team members, Show component dependencies","Data flow, Connection of components","Functionality, Interaction capability, Reliability",Very important,Neutral,Important,,Neutral,Important,Very important,Important,Very important,Very important,Important,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Easy to use,"Hard to mantain, Lack of existing documentation, Nobody uses the architecture views afterwards","Myself, New potential contributors, Existing contributors",5,4,4,4,4,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
