,,,,,,,,,,,,,#N/A,,,,,,,Free form VS Fixed Notation,License Type,OSS,Collaborative VS Single User,Integrated to IDE vs Standalone,Diagram as a Code Support,NOTE
,,,,Free form VS Fixed Notation,"License Type (Free, free plan Available, Commercial, one time payment)",OSS (bool),Collaborative VS Single User,Integrated to IDE vs Standalone,Diagram as a Code Native Support (bool),,,,,,,,,Draw.io / Diagram.net,,Free Form,Free,Yes,Collaborative,Integrated to IDE,Yes,
,,,Draw.io / Diagram.net,Free Form,Free,Yes,Collaborative,Integrated to IDE,Yes,,,,,,,,, AWS Architecture,,Free Form,Free Plan Available,No,Single User,Standalone,Yes,
,,,AWS Architecture,Free Form,Free Plan Available,No,Single User,Standalone,Yes,,,,,,,,, PowerPoint / Keynote / Slides,,Free Form,,No,,Standalone,No,"Qui purtropo dipende: Powerpoint non free, Keynote free (per utenti apple) slides free. Powerpoint e keynote single user, slide collaborative"
,,,PowerPoint / Keynote / Slides,Free Form,,No,,Standalone,No,,,,,,,,, Visio,,Free Form,Paywall,No,Single User,Standalone,No,
,,,Visio,Free Form,Commercial,No,Single User,Standalone,No,,,,,,,,, Excalidraw,,Free Form,Free,Yes,Single User,Integrated to IDE,No,
,,,Excalidraw,Free Form,Free,Yes,Single User,Integrated to IDE,No,,,,,,,,,matplotlib,,Free Form,Free,Yes,Single User,Integrated to IDE,Yes,
,,,matplotlib,Free Form,Free,Yes,Single User,Integrated to IDE,Yes,,,,,,,,,PowerPoint / Keynote / Slides,,/,,,,,,
,,,TikZ,Free Form,Free,Yes,Single User,Integrated to IDE,Yes,,,,,,,,, TikZ,,Free Form,Free,Yes,Single User,Integrated to IDE,Yes,
,,,Miro,Free Form,Free Plan Available,No,Collaborative,Standalone,No,,,,,,,,, Miro,,Free Form,Free Plan Available,No,Collaborative,Standalone,No,
,,,LucidChart,Free Form,Free Plan Available,No,Collaborative,Standalone,No,,,,,,,,,Visio,,,,,,,,
,,,yEd,Free Form,Premium Plan Available,No,Single User,Standalone,No,,,,,,,,, LucidChart,,Free Form,Free Plan Available,No,Collaborative,Standalone,No,
,,,Cloudcraft,Free Form,Free Plan Available,No,Collaborative,Standalone,No,,,,,,,,,,,,,,,,,
,,,Google Drawings,Free Form,Free,No,Collaborative,Standalone,No,,,,,,,,,,,,,,,,,
,,,PlantUML,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,,,,,,,,,,,,,,,,,
,,,Mermaid,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,,,,,,,,,,,,,,,,,
,,,TLdraw,Free Form,Free,Yes,Collaborative,Standalone,No,,,,,,,,,,,,,,,,,
,,,Obsidian,Fixed Notation,Premium Plan Available,No,Single User,Standalone,No,,,,,,,,,,,,,,,,,
,,,Affinity Designer,Free Form,One time payment,No,Single User,Standalone,No,,,,,,,,,,,,,,,,,
,,,FigJam,Free Form,Free Plan Available,No,Collaborative,Standalone,No,,,,,,,,,,,,,,,,,
,,,Confluence,Free Form,Free,No,Collaborative,Standalone,No,,,,,,,,,,,,,,,,,
,,,Drawing apps,,,,,,,,,,,,,,,,,,,,,,,
,,,DBeaver,Fixed Notation,Premium Plan Available,Yes,Single User,Standalone,No,,,,,,,,,,,,,,,,,
,,,ASCII-Art,,,,,,,,,,,,,,,,,,,,,,,
