Which tool do you use to create architecture views? (if any) [CODED],Which tool do you use to create architecture views? (if any) [CODED],Which tool do you use to create architecture views? (if any) [CODED],,Free form VS Fixed Notation,License Type,OSS,Collaborative VS Single User,Integrated to IDE vs Standalone,Diagram as a Code Native Support,NOTE,,,ASCII-Art,1,,,,,,Free form VS Fixed Notation,License Type,OSS,Collaborative VS Single User,Integrated to IDE vs Standalone,Diagram as a Code Support,NOTE
"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,Draw.io / Diagram.net,Draw.io / Diagram.net,Free Form,Free,Yes,Collaborative,Integrated to IDE,Yes,,Diagram as a code native support: 1) Creazione e modifica diagrammi tramite testo. 2) Salvataggio diagrammi in formato testuale. 3) generazione del diagramma a partire da testo ,,ASCIIFlow,1,,,,Draw.io / Diagram.net,,Free Form,Free,Yes,Collaborative,Integrated to IDE,Yes,
Draw.io / Diagram.net, AWS Architecture,AWS Architecture,AWS Architecture,Free Form,Free Plan Available,No,Single User,Standalone,Yes,,,,AWS Architecture,33,,,, AWS Architecture,,Free Form,Free Plan Available,No,Single User,Standalone,Yes,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio", PowerPoint / Keynote / Slides,PowerPoint / Keynote / Slides,PowerPoint / Keynote / Slides,Free Form,,No,,Standalone,No,"Qui purtropo dipende: Powerpoint non free, Keynote free (per utenti apple) slides free. Powerpoint e keynote single user, slide collaborative",,,Adobe XD,1,,,, PowerPoint / Keynote / Slides,,Free Form,,No,,Standalone,No,"Qui purtropo dipende: Powerpoint non free, Keynote free (per utenti apple) slides free. Powerpoint e keynote single user, slide collaborative"
Draw.io / Diagram.net,Draw.io / Diagram.net,Visio,Visio,Free Form,Commercial,No,Single User,Standalone,No,,,,Affinity Designer,1,,,, Visio,,Free Form,Paywall,No,Single User,Standalone,No,
"Draw.io / Diagram.net, AWS Architecture",Draw.io / Diagram.net,Excalidraw,Excalidraw,Free Form,Free,Yes,Single User,Integrated to IDE,No,,,,Caldera’s,1,,,, Excalidraw,,Free Form,Free,Yes,Single User,Integrated to IDE,No,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", PowerPoint / Keynote / Slides,matplotlib,matplotlib,Free Form,Free,Yes,Single User,Integrated to IDE,Yes,,,,Canva,1,,,,matplotlib,,Free Form,Free,Yes,Single User,Integrated to IDE,Yes,
Draw.io / Diagram.net, Visio,TikZ,TikZ,Free Form,Free,Yes,Single User,Integrated to IDE,Yes,,,,Cloudcraft,2,,,,PowerPoint / Keynote / Slides,,/,,,,,,
"Draw.io / Diagram.net, AWS Architecture, Excalidraw",Draw.io / Diagram.net,Miro,Miro,Free Form,Free Plan Available,No,Collaborative,Standalone,No,,,,Confluence,2,,,, TikZ,,Free Form,Free,Yes,Single User,Integrated to IDE,Yes,
matplotlib,Draw.io / Diagram.net,LucidChart,LucidChart,Free Form,Free Plan Available,No,Collaborative,Standalone,No,,,,DBeaver,1,,,, Miro,,Free Form,Free Plan Available,No,Collaborative,Standalone,No,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", AWS Architecture,yEd,yEd,Free Form,Premium Plan Available,No,Single User,Standalone,No,Premium Plan Available nel senso che si può avere qualcosa in più pagando ma la maggior parte è freee,,,Dia,2,,,,Visio,,,,,,,,
,Draw.io / Diagram.net,Cloudcraft,Cloudcraft,Free Form,Free Plan Available,No,Collaborative,Standalone,No,,,,Draw.io / Diagram.net,307,,,, LucidChart,,Free Form,Free Plan Available,No,Collaborative,Standalone,No,
"Draw.io / Diagram.net, Excalidraw", PowerPoint / Keynote / Slides,Google Drawings,Google Drawings,Free Form,Free,No,Collaborative,Standalone,No,,,,Drawing apps,1,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, TikZ",Draw.io / Diagram.net,PlantUML,PlantUML,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,,,,Enterprise Architect,1,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,Mermaid,Mermaid,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,,,,Eraser,2,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", AWS Architecture,TLdraw,TLdraw,Free Form,Free,Yes,Collaborative,Standalone,No,,,,Excalidraw,33,,,,,,,,,,,,
"Draw.io / Diagram.net, Miro", Excalidraw,Obsidian,Obsidian,Fixed Notation,Premium Plan Available,No,Single User,Standalone,No,,,,Feishu,1,,,,,,,,,,,,
Draw.io / Diagram.net,matplotlib,Affinity Designer,Affinity Designer,Free Form,One time payment,No,Single User,Standalone,No,,,,FigJam,1,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,FigJam,FigJam,Free Form,Free Plan Available,No,Collaborative,Standalone,No,,,,Figma / FigJam,4,,,,,,,,,,,,
PowerPoint / Keynote / Slides, PowerPoint / Keynote / Slides,Confluence,Confluence,Free Form,Free,No,Collaborative,Standalone,No,,,,Free hand,5,,,,,,,,,,,,
Visio,Draw.io / Diagram.net,Drawing apps,Drawing apps,,,,,,,,,,Freeform,1,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, LucidChart", Excalidraw,DBeaver,DBeaver,Fixed Notation,Premium Plan Available,Yes,Single User,Standalone,No,,,,Gaphor,1,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",PowerPoint / Keynote / Slides,ASCII-Art,ASCII-Art,,,,,,,,,,Gliffy,2,,,,,,,,,,,,
yEd, TikZ,Eraser,Eraser,Free Form,Free Plan Available,No,Collaborative,Standalone,No,Supporta la generazione di diagrammi tramite prompt...,,,Google Drawings,3,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,ASCIIFlow,ASCIIFlow,Free Form,Free,Yes,Single User,Standalone,Yes,,,,GraphViz,2,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio",Draw.io / Diagram.net,Enterprise Architect,Enterprise Architect,Fixed Notation,Commercial,No,Single User,Standalone,No,,,,Inkscape,3,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio", PowerPoint / Keynote / Slides,Inkscape,Inkscape,Free Form,Free,Yes,Single User,Standalone,No,,,,Jetbrains Resharper Extension,1,,,,,,,,,,,,
"Draw.io / Diagram.net, Excalidraw",Draw.io / Diagram.net,MockUp,MockUp,,,,,,,Non lo trovo...,,,Lark,1,,,,,,,,,,,,
"AWS Architecture, PowerPoint / Keynote / Slides, Visio", Miro,Freeform,Freeform,Free Form,Free,No,Collaborative,Standalone,No,,,,LibreOffice Draw,1,,,,,,,,,,,,
Visio,Draw.io / Diagram.net,Markdown,Markdown,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,,,,LucidChart,16,,,,,,,,,,,,
Excalidraw,Draw.io / Diagram.net,Vim,Vim,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,,,,Markdown,3,,,,,,,,,,,,
"Visio, yEd", PowerPoint / Keynote / Slides,Adobe XD,Adobe XD,Free Form,Commercial,No,Collaborative,Standalone,No,,,,Mermaid,25,,,,,,,,,,,,
"Draw.io / Diagram.net, Excalidraw",PowerPoint / Keynote / Slides,Gaphor,Gaphor,Fixed Notation,Free,Yes,Single User,Standalone,No,,,,Milanote,1,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides",Visio,,,,,,,,,,,,Miro,23,,,,,,,,,,,,
Cloudcraft,PowerPoint / Keynote / Slides,Lark,Lark,Free Form,Free Plan Available,No,Collaborative,Standalone,No,,,,MockUp,1,,,,,,,,,,,,
Draw.io / Diagram.net, LucidChart,StarUML,StarUML,Fixed Notation,Free Plan Available,No,Single User,Standalone,No,,,,Monodraw,2,,,,,,,,,,,,
"Draw.io / Diagram.net, Visio",Draw.io / Diagram.net,Gliffy,Gliffy,Free Form,Free Plan Available,No,Collaborative,Standalone,No,,,,Mural,1,,,,,,,,,,,,
Draw.io / Diagram.net, PowerPoint / Keynote / Slides,Feishu,Feishu,Free Form,Free Plan Available,No,Collaborative,Standalone,No,,,,Obsidian,1,,,,,,,,,,,,
Google Drawings,yEd,Visual Paradigm,Visual Paradigm,Fixed Notation,Commercial,No,Single User,Standalone,No,,,,OmniGraffle,2,,,,,,,,,,,,
Excalidraw,Draw.io / Diagram.net,Monodraw,Monodraw,Free Form,One time payment,No,Single User,Standalone,No,Mi pare di capire che non si possa generare diagrammi automaticamente e poi farli leggere/renderizzare al software,,,Paint,1,,,,,,,,,,,,
"Draw.io / Diagram.net, PlantUML",Draw.io / Diagram.net,SequenceDiagram,SequenceDiagram,Fixed Notation,Free,No,Collaborative,Standalone,Yes,,,,PlantUML,19,,,,,,,,,,,,
"Draw.io / Diagram.net, Mermaid", PowerPoint / Keynote / Slides,Free hand,Free hand,,,,,,,,,,PowerPoint / Keynote / Slides,118,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", Visio,https://github.com/mingrammer/diagrams,https://github.com/mingrammer/diagrams,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,,,,Processon,1,,,,,,,,,,,,
"TLdraw, Obsidian, Affinity Designer",Draw.io / Diagram.net,Dia,Dia,Free Form,Free,No,Single User,Standalone,No,,,,Pyhton diagrams,1,,,,,,,,,,,,
Draw.io / Diagram.net, PowerPoint / Keynote / Slides,Sigma,Sigma,,,,,,,Non lo trovo...,,,Python,1,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides", Visio,SVG software,SVG software,,,,,,,,,,SVG software,1,,,,,,,,,,,,
Visio,Draw.io / Diagram.net,Figma / FigJam,Figma / FigJam,Free Form,Free Plan Available,No,Collaborative,Standalone,No,,,,SequenceDiagram,1,,,,,,,,,,,,
Excalidraw, Excalidraw,Structurizr,Structurizr,Fixed Notation,Premium Plan Available,Yes,Single User,Integrated to IDE,Yes,,,,Sigma,1,,,,,,,,,,,,
Draw.io / Diagram.net,AWS Architecture,Python,Python,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,,,,StarUML,1,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", PowerPoint / Keynote / Slides,Caldera’s,Caldera’s,,,,,,,Non lo trovo...,,,Structurizr,3,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Miro", Visio,asciidoc,asciidoc,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,,,,TLdraw,2,,,,,,,,,,,,
"Draw.io / Diagram.net, FigJam",Visio,UML compiler,UML compiler,,,,,,,,,,TikZ,2,,,,,,,,,,,,
Draw.io / Diagram.net,Excalidraw,OmniGraffle,OmniGraffle,Free Form,Commercial,No,Collaborative,Standalone,No,,,,UML compiler,1,,,,,,,,,,,,
"Draw.io / Diagram.net, PlantUML",Visio,Paint,Paint,Free Form,Free,No,Single User,Standalone,No,,,,Umbrello,1,,,,,,,,,,,,
Mermaid, yEd,Whimsical,Whimsical,Free Form,Free Plan Available,No,Collaborative,Standalone,No,,,,Vim,1,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,Umbrello,Umbrello,Fixed Notation,Free,Yes,Single User,Standalone,Yes,,,,Visio,51,,,,,,,,,,,,
Draw.io / Diagram.net, Excalidraw,Pyhton diagrams,Pyhton diagrams,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,,,,Visual Paradigm,2,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,Milanote,Milanote,Free Form,Free Plan Available,No,Collaborative,Standalone,No,,,,Whimsical,3,,,,,,,,,,,,
PowerPoint / Keynote / Slides, AWS Architecture,ascii diagrams on markdown,ascii diagrams on markdown,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,,,,ascii diagrams on markdown,1,,,,,,,,,,,,
"LucidChart, Miro", PowerPoint / Keynote / Slides,Mural,Mural,Free Form,Free Plan Available,No,Collaborative,Standalone,Yes,,,,asciidoc,1,,,,,,,,,,,,
Draw.io / Diagram.net,Cloudcraft,Processon,Processon,Free Form,Free Plan Available,No,Collaborative,Standalone,Yes,,,,https://github.com/mingrammer/diagrams,1,,,,,,,,,,,,
"Draw.io / Diagram.net, Excalidraw",Draw.io / Diagram.net,Jetbrains Resharper Extension,Jetbrains Resharper Extension,,,,,,,Non mi pare possa essere utilizzata per diagrammi,,,matplotlib,1,,,,,,,,,,,,
"AWS Architecture, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,GraphViz,GraphViz,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,,,,yEd,2,,,,,,,,,,,,
Draw.io / Diagram.net, Visio,Canva,Canva,Free Form,Free Plan Available,No,Collaborative,Standalone,No,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, Confluence, Miro ",Draw.io / Diagram.net,LibreOffice Draw,LibreOffice Draw,Free Form,Free,Yes,Single User,Standalone,No,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture",Google Drawings,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Excalidraw,,,,,,,,,,,,,,,,,,,,,,,,,
Drawing apps,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, PlantUML,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PlantUML, Mermaid, Excalidraw, DBeaver",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,TLdraw,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, ASCII-Art", Obsidian,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture", Affinity Designer,,,,,,,,,,,,,,,,,,,,,,,,,
Excalidraw,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Mermaid,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio", PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Excalidraw",Visio,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Visio",Excalidraw,,,,,,,,,,,,,,,,,,,,,,,,,
LucidChart,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Excalidraw",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Eraser", PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, ASCIIFlow, Mermaid", Miro,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, Visio",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Miro, FigJam,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net,  Enterprise Architect",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Excalidraw",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, PlantUML,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Miro",Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, LucidChart",PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Inkscape",LucidChart,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides, Visio", Miro,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Excalidraw", Excalidraw,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio", PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides, Confluence,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, PlantUML", Miro ,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Drawing apps,,,,,,,,,,,,,,,,,,,,,,,,,
LucidChart,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, Visio",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Mermaid, PlantUML,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture", Excalidraw,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Mermaid", DBeaver,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Visio",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PlantUML", PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, Visio, LucidChart, MockUp",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, Visio", ASCII-Art,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Freeform", AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides",Excalidraw,,,,,,,,,,,,,,,,,,,,,,,,,
Google Drawings,Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
"Markdown, PlantUML,  Mermaid",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, TLdraw",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"PlantUML, Mermaid", PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
PlantUML, Visio,,,,,,,,,,,,,,,,,,,,,,,,,
Vim,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Mermaid, Excalidraw,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, Visio",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
, Visio,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Adobe XD",LucidChart,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Gaphor",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
PlantUML, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Miro,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Visio", Excalidraw,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
 , Eraser,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Lark",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, ASCIIFlow,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, StarUML", AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides", Visio,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Miro",Miro,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
PlantUML,  Enterprise Architect,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", Excalidraw,,,,,,,,,,,,,,,,,,,,,,,,,
"Gliffy, Confluence",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides, Miro,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Visio",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", LucidChart,,,,,,,,,,,,,,,,,,,,,,,,,
Feishu,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, Inkscape,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, Mermaid", Visio,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio, Visual Paradigm, PlantUML",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, Visio", Excalidraw,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Monodraw,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
PlantUML, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio", Visio,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Excalidraw",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
