TOOL,Free form VS Fixed Notation,License Type,OSS,Collaborative VS Single User,Integrated to IDE vs Standalone,Diagram as a Code Native Support,Occurence
Draw.io / Diagram.net,Free Form,Free,Yes,Collaborative,Integrated to IDE,Yes,296
AWS Architecture,Free Form,Free Plan Available,No,Single User,Standalone,Yes,32
PowerPoint / Keynote / Slides,Free Form,Commercial,No,Single User,Standalone,No,114
Visio,Free Form,Commercial,No,Single User,Standalone,No,50
Excalidraw,Free Form,Free,Yes,Single User,Integrated to IDE,No,33
matplotlib,Free Form,Free,Yes,Single User,Integrated to IDE,Yes,1
TikZ,Free Form,Free,Yes,Single User,Integrated to IDE,Yes,2
Miro,Free Form,Free Plan Available,No,Collaborative,Standalone,No,23
LucidChart,Free Form,Free Plan Available,No,Collaborative,Standalone,No,16
yEd,Free Form,Premium Plan Available,No,Single User,Standalone,No,2
Cloudcraft,Free Form,Free Plan Available,No,Collaborative,Standalone,No,2
Google Drawings,Free Form,Free,No,Collaborative,Standalone,No,3
PlantUML,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,17
Mermaid,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,24
TLdraw,Free Form,Free,Yes,Collaborative,Standalone,No,2
Obsidian,Fixed Notation,Premium Plan Available,No,Single User,Standalone,No,1
Affinity Designer,Free Form,One time payment,No,Single User,Standalone,No,1
Confluence,Free Form,Free,No,Collaborative,Standalone,No,2
DBeaver,Fixed Notation,Premium Plan Available,Yes,Single User,Standalone,No,1
Eraser,Free Form,Free Plan Available,No,Collaborative,Standalone,No,2
ASCIIFlow,Free Form,Free,Yes,Single User,Standalone,Yes,1
Enterprise Architect,Fixed Notation,Commercial,No,Single User,Standalone,No,1
Inkscape,Free Form,Free,Yes,Single User,Standalone,No,3
Freeform,Free Form,Free,No,Collaborative,Standalone,No,1
Markdown,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,2
Vim,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,1
Adobe XD,Free Form,Commercial,No,Collaborative,Standalone,No,1
Gaphor,Fixed Notation,Free,Yes,Single User,Standalone,No,1
Lark,Free Form,Free Plan Available,No,Collaborative,Standalone,No,1
StarUML,Fixed Notation,Free Plan Available,No,Single User,Standalone,No,1
Gliffy,Free Form,Free Plan Available,No,Collaborative,Standalone,No,2
Feishu,Free Form,Free Plan Available,No,Collaborative,Standalone,No,1
Visual Paradigm,Fixed Notation,Commercial,No,Single User,Standalone,No,2
Monodraw,Free Form,One time payment,No,Single User,Standalone,No,2
SequenceDiagram,Fixed Notation,Free,No,Collaborative,Standalone,Yes,1
https://github.com/mingrammer/diagrams,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,1
Dia,Free Form,Free,No,Single User,Standalone,No,2
Figma / FigJam,Free Form,Free Plan Available,No,Collaborative,Standalone,No,4
Structurizr,Fixed Notation,Premium Plan Available,Yes,Single User,Integrated to IDE,Yes,2
Python,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,1
OmniGraffle,Free Form,Commercial,No,Collaborative,Standalone,No,1
Paint,Free Form,Free,No,Single User,Standalone,No,1
Whimsical,Free Form,Free Plan Available,No,Collaborative,Standalone,No,3
Umbrello,Fixed Notation,Free,Yes,Single User,Standalone,Yes,1
Pyhton diagrams,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,1
Milanote,Free Form,Free Plan Available,No,Collaborative,Standalone,No,1
ascii diagrams on markdown,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,1
Mural,Free Form,Free Plan Available,No,Collaborative,Standalone,Yes,1
Processon,Free Form,Free Plan Available,No,Collaborative,Standalone,Yes,1
GraphViz,Fixed Notation,Free,Yes,Single User,Integrated to IDE,Yes,2
Canva,Free Form,Free Plan Available,No,Collaborative,Standalone,No,1
LibreOffice Draw,Free Form,Free,Yes,Single User,Standalone,No,1
