question_id,question,code,code_type,n,definition
Q5,What is your current role(s) in your organization?,Software Developer,predefined option,277,Predefined answer option of Q5
Q5,What is your current role(s) in your organization?,Technical Lead,predefined option,150,Predefined answer option of Q5
Q5,What is your current role(s) in your organization?,Software Architect,predefined option,147,Predefined answer option of Q5
Q5,What is your current role(s) in your organization?,DevOps Engineer,predefined option,89,Predefined answer option of Q5
Q5,What is your current role(s) in your organization?,Product Owner,predefined option,42,Predefined answer option of Q5
Q5,What is your current role(s) in your organization?,Management,emergent category,20,"Managerial roles (e.g., director, manager, community manager)"
Q5,What is your current role(s) in your organization?,Academic/Researcher,emergent category,15,"Academic or research positions (e.g., professor, researcher, PhD student)"
Q5,What is your current role(s) in your organization?,Data/ML Engineer,emergent category,10,"Data- or ML-oriented engineering roles (e.g., data consultant, ML engineer)"
Q5,What is your current role(s) in your organization?,Other,emergent category,5,Role not attributable to any category
Q5,What is your current role(s) in your organization?,Student,predefined option,3,Student
Q13,What is the most valuable purpose(s) of an architecture view?,Clarify the system structure,predefined option,380,Predefined answer option of Q13
Q13,What is the most valuable purpose(s) of an architecture view?,Support onboarding new developers,predefined option,255,Predefined answer option of Q13
Q13,What is the most valuable purpose(s) of an architecture view?,Ease understanding complex interactions,predefined option,254,Predefined answer option of Q13
Q13,What is the most valuable purpose(s) of an architecture view?,Show component dependencies,predefined option,239,Predefined answer option of Q13
Q13,What is the most valuable purpose(s) of an architecture view?,Assist communication among team members,predefined option,189,Predefined answer option of Q13
Q13,What is the most valuable purpose(s) of an architecture view?,Help in design decision-making,predefined option,189,Predefined answer option of Q13
Q13,What is the most valuable purpose(s) of an architecture view?,Aid system documentation,predefined option,177,Predefined answer option of Q13
Q13,What is the most valuable purpose(s) of an architecture view?,Highlight architecture patterns,predefined option,151,Predefined answer option of Q13
Q13,What is the most valuable purpose(s) of an architecture view?,Facilitate system evolution tracking,predefined option,86,Predefined answer option of Q13
Q13,What is the most valuable purpose(s) of an architecture view?,Visualize runtime behaviour,predefined option,84,Predefined answer option of Q13
Q13,What is the most valuable purpose(s) of an architecture view?,Other,emergent category,3,"Purpose not among the options (mostly ""it depends on the project"")"
Q14,What is the most important concern(s) an architecture view should cover?,Connection of components,predefined option,307,Predefined answer option of Q14
Q14,What is the most important concern(s) an architecture view should cover?,Data flow,predefined option,271,Predefined answer option of Q14
Q14,What is the most important concern(s) an architecture view should cover?,Control flow,predefined option,191,Predefined answer option of Q14
Q14,What is the most important concern(s) an architecture view should cover?,General documentation,predefined option,138,Predefined answer option of Q14
Q14,What is the most important concern(s) an architecture view should cover?,Deployment,predefined option,60,Predefined answer option of Q14
Q14,What is the most important concern(s) an architecture view should cover?,Other,emergent category,9,"Concern not among the options (mostly ""depends on the context"", separation of concerns, tracking changes)"
Q17,"Are you using in some way any standard notation in your architecture views? If so, which ones?",UML,predefined option,212,Predefined answer option of Q17
Q17,"Are you using in some way any standard notation in your architecture views? If so, which ones?",C4,predefined option,52,Predefined answer option of Q17
Q17,"Are you using in some way any standard notation in your architecture views? If so, which ones?",4+1 View Model,predefined option,15,Predefined answer option of Q17
Q17,"Are you using in some way any standard notation in your architecture views? If so, which ones?",IEEE 1471/ISO/IEC 42010,predefined option,13,Predefined answer option of Q17
Q17,"Are you using in some way any standard notation in your architecture views? If so, which ones?",ArchiMate,predefined option,13,Predefined answer option of Q17
Q17,"Are you using in some way any standard notation in your architecture views? If so, which ones?",TOGAF,predefined option,12,Predefined answer option of Q17
Q17,"Are you using in some way any standard notation in your architecture views? If so, which ones?",Not specified,emergent category,12,"Respondent named a drawing tool (e.g., Mermaid, Excalidraw) rather than a notation"
Q17,"Are you using in some way any standard notation in your architecture views? If so, which ones?",Reference Model of Open Distributed Processing (RM-ODP),predefined option,8,Predefined answer option of Q17
Q17,"Are you using in some way any standard notation in your architecture views? If so, which ones?",Other,emergent category,7,"Notation not among the options (e.g., BPMN, threat modeling)"
Q17,"Are you using in some way any standard notation in your architecture views? If so, which ones?",Zachman Framework,predefined option,2,Zachman enterprise-architecture framework
Q19,"If you believe important elements were missing above, please specify them with their importance (as example, code snippets - very important)",Connection/interaction,emergent code,4,Relationships with external services and explicit interface definitions
Q19,"If you believe important elements were missing above, please specify them with their importance (as example, code snippets - very important)",Control Flow,emergent code,4,Explicit representation of control and data flow
Q19,"If you believe important elements were missing above, please specify them with their importance (as example, code snippets - very important)",Granularity Level,emergent code,4,"Multiple diagrams, each at a specific level of abstraction"
Q19,"If you believe important elements were missing above, please specify them with their importance (as example, code snippets - very important)",Other,emergent code,4,Element not attributable to any category
Q19,"If you believe important elements were missing above, please specify them with their importance (as example, code snippets - very important)",Data Layer,emergent code,3,Databases and the data layer
Q19,"If you believe important elements were missing above, please specify them with their importance (as example, code snippets - very important)",Avoid Code and Classes,emergent code,3,Views should not include code- or class-level details
Q19,"If you believe important elements were missing above, please specify them with their importance (as example, code snippets - very important)",Nested Components,emergent code,2,Hierarchical containment of components
Q19,"If you believe important elements were missing above, please specify them with their importance (as example, code snippets - very important)",Documentation,emergent code,2,Accompanying textual documentation
Q19,"If you believe important elements were missing above, please specify them with their importance (as example, code snippets - very important)",Arcitectural Componets,emergent code,1,Architectural components
Q20,Which tool do you use to create architecture views? (if any),Draw.io / Diagram.net,predefined option,296,Predefined answer option of Q20
Q20,Which tool do you use to create architecture views? (if any),PowerPoint / Keynote / Slides,predefined option,114,Predefined answer option of Q20
Q20,Which tool do you use to create architecture views? (if any),Visio,predefined option,50,Predefined answer option of Q20
Q20,Which tool do you use to create architecture views? (if any),Excalidraw,predefined option,33,Predefined answer option of Q20
Q20,Which tool do you use to create architecture views? (if any),AWS Architecture,predefined option,32,Predefined answer option of Q20
Q20,Which tool do you use to create architecture views? (if any),Mermaid,predefined option,24,Predefined answer option of Q20
Q20,Which tool do you use to create architecture views? (if any),Miro,predefined option,23,Predefined answer option of Q20
Q20,Which tool do you use to create architecture views? (if any),PlantUML,predefined option,17,Predefined answer option of Q20
Q20,Which tool do you use to create architecture views? (if any),LucidChart,predefined option,16,Predefined answer option of Q20
Q20,Which tool do you use to create architecture views? (if any),Free hand,emergent category,5,Tool named by the respondent (name normalized)
Q20,Which tool do you use to create architecture views? (if any),Figma / FigJam,emergent category,4,Tool named by the respondent (name normalized)
Q20,Which tool do you use to create architecture views? (if any),Google Drawings,predefined option,3,Predefined answer option of Q20
Q20,Which tool do you use to create architecture views? (if any),Inkscape,predefined option,3,Predefined answer option of Q20
Q20,Which tool do you use to create architecture views? (if any),Whimsical,predefined option,3,Predefined answer option of Q20
Q20,Which tool do you use to create architecture views? (if any),TikZ,predefined option,2,Predefined answer option of Q20
Q20,Which tool do you use to create architecture views? (if any),yEd,predefined option,2,Predefined answer option of Q20
Q20,Which tool do you use to create architecture views? (if any),Cloudcraft,emergent category,2,Tool named by the respondent (name normalized)
Q20,Which tool do you use to create architecture views? (if any),TLdraw,predefined option,2,Predefined answer option of Q20
Q20,Which tool do you use to create architecture views? (if any),Confluence,predefined option,2,Predefined answer option of Q20
